PCP_PC,PCP_NC,PCP_NE,PCP_PO,PCP_NP,PCP_AL,PCP_CY,PCP_AR,PCP_AC,PCP_BS,PCP_NE_pH,PCP_HB,PCP_HL,PCP_NT,PCP_HX,PCP_SC,PCP_SS_HE,PCP_SS_ST,PCP_SS_CO,PCP_SA_BU,PCP_SA_EX,PCP_SA_IN,PCP_TN,PCP_SM,PCP_LR,PCP_Z1,PCP_Z2,PCP_Z3,PCP_Z4,PCP_Z5
0.176,0.059,0.765,0.176,0.588,0.353,0.118,0.176,0.059,0.176,0.765,0.647,0.294,0.235,0.118,0.059,0.529,0.294,0.176,0.412,0.353,0.353,0.176,0.353,0.647,-0.683,0.101,-0.081,0.334,0.311
0.235,0.0,0.765,0.059,0.706,0.471,0.176,0.176,0.0,0.235,0.765,0.647,0.412,0.059,0.0,0.118,0.529,0.235,0.235,0.412,0.353,0.353,0.118,0.294,0.706,-1.269,0.185,-0.362,0.778,0.234
0.353,0.176,0.471,0.235,0.235,0.176,0.059,0.118,0.176,0.353,0.471,0.353,0.412,0.294,0.118,0.059,0.529,0.235,0.235,0.235,0.412,0.235,0.118,0.353,0.647,0.904,0.672,-0.624,0.15,-0.005
0.294,0.118,0.588,0.235,0.353,0.294,0.176,0.118,0.118,0.294,0.588,0.412,0.471,0.294,0.059,0.0,0.529,0.235,0.235,0.176,0.471,0.353,0.059,0.412,0.588,0.731,0.74,-0.548,0.371,0.325
0.118,0.118,0.765,0.353,0.353,0.294,0.059,0.059,0.118,0.118,0.765,0.471,0.235,0.412,0.118,0.059,0.412,0.353,0.235,0.235,0.412,0.294,0.0,0.471,0.529,0.259,-0.012,-0.718,-0.565,0.079
0.118,0.235,0.647,0.235,0.294,0.118,0.0,0.235,0.235,0.118,0.647,0.353,0.235,0.353,0.059,0.118,0.235,0.412,0.353,0.412,0.412,0.118,0.235,0.471,0.529,0.755,0.651,0.566,-0.297,-0.712
0.118,0.235,0.647,0.235,0.353,0.118,0.0,0.235,0.235,0.118,0.647,0.471,0.176,0.294,0.059,0.176,0.353,0.412,0.235,0.412,0.353,0.235,0.176,0.353,0.647,-0.026,0.673,0.645,0.003,-0.588
0.118,0.118,0.765,0.294,0.412,0.353,0.0,0.176,0.118,0.118,0.765,0.412,0.176,0.294,0.059,0.059,0.412,0.294,0.294,0.471,0.353,0.176,0.353,0.529,0.471,0.337,-0.13,0.221,-0.289,-0.042
0.059,0.235,0.706,0.353,0.294,0.294,0.118,0.059,0.235,0.059,0.706,0.294,0.235,0.529,0.0,0.0,0.647,0.118,0.235,0.176,0.706,0.235,0.059,0.294,0.706,0.811,0.318,-0.164,-0.929,0.395
0.118,0.294,0.588,0.294,0.176,0.0,0.0,0.235,0.294,0.118,0.588,0.235,0.235,0.471,0.0,0.059,0.471,0.294,0.235,0.235,0.588,0.176,0.059,0.294,0.706,1.122,1.169,0.509,-0.46,-0.427
0.294,0.235,0.471,0.294,0.176,0.118,0.0,0.118,0.235,0.294,0.471,0.353,0.294,0.412,0.118,0.059,0.588,0.353,0.059,0.235,0.471,0.294,0.059,0.235,0.765,0.832,0.359,-0.441,-0.086,-0.214
0.059,0.059,0.882,0.235,0.647,0.471,0.176,0.176,0.059,0.059,0.882,0.706,0.235,0.294,0.235,0.0,0.235,0.412,0.353,0.471,0.235,0.412,0.235,0.647,0.353,-0.885,-0.326,0.085,-0.204,0.379
0.235,0.176,0.588,0.294,0.235,0.176,0.059,0.176,0.176,0.235,0.588,0.176,0.353,0.412,0.059,0.059,0.412,0.235,0.353,0.118,0.412,0.353,0.118,0.412,0.588,1.261,0.571,-0.379,-0.196,-0.262
0.118,0.118,0.765,0.294,0.471,0.412,0.118,0.059,0.118,0.118,0.765,0.471,0.235,0.471,0.176,0.059,0.176,0.353,0.471,0.412,0.294,0.353,0.294,0.647,0.353,0.486,-0.642,0.269,-0.392,0.205
0.118,0.176,0.706,0.059,0.647,0.529,0.0,0.059,0.176,0.118,0.706,0.529,0.118,0.412,0.059,0.059,0.353,0.412,0.235,0.588,0.176,0.176,0.235,0.588,0.412,0.118,-1.256,-0.43,-0.498,-0.088
0.059,0.294,0.647,0.294,0.353,0.353,0.118,0.0,0.294,0.059,0.647,0.412,0.176,0.647,0.118,0.059,0.529,0.176,0.294,0.294,0.529,0.294,0.235,0.529,0.471,1.263,-0.724,0.226,-1.014,0.182
0.176,0.176,0.647,0.235,0.353,0.353,0.059,0.059,0.176,0.176,0.647,0.471,0.294,0.353,0.176,0.0,0.412,0.294,0.294,0.294,0.353,0.353,0.118,0.471,0.529,0.352,-0.119,-0.327,-0.504,0.222
0.0,0.353,0.647,0.176,0.471,0.235,0.0,0.235,0.353,0.0,0.647,0.529,0.0,0.471,0.059,0.118,0.118,0.471,0.412,0.588,0.353,0.059,0.235,0.588,0.412,0.088,-0.086,1.057,-1.026,-0.171
0.235,0.059,0.706,0.176,0.471,0.235,0.0,0.235,0.059,0.235,0.706,0.412,0.294,0.294,0.118,0.0,0.353,0.412,0.235,0.471,0.176,0.235,0.176,0.235,0.765,-0.116,0.568,-0.335,0.305,-0.181
0.176,0.059,0.765,0.294,0.471,0.176,0.059,0.235,0.059,0.176,0.765,0.647,0.235,0.353,0.235,0.059,0.412,0.471,0.118,0.353,0.235,0.412,0.118,0.412,0.588,-0.384,0.549,-0.339,0.744,-0.232
0.176,0.059,0.765,0.353,0.353,0.176,0.059,0.353,0.059,0.176,0.765,0.412,0.294,0.176,0.0,0.059,0.412,0.471,0.118,0.353,0.294,0.353,0.059,0.235,0.765,-0.596,1.24,0.066,0.575,-0.504
0.059,0.059,0.882,0.235,0.588,0.471,0.059,0.118,0.059,0.059,0.882,0.529,0.176,0.412,0.118,0.0,0.353,0.294,0.353,0.529,0.353,0.176,0.235,0.529,0.471,-0.293,-0.592,-0.223,-0.464,0.194
0.176,0.059,0.765,0.176,0.471,0.353,0.059,0.059,0.059,0.176,0.765,0.353,0.353,0.412,0.176,0.059,0.294,0.176,0.529,0.353,0.294,0.353,0.353,0.647,0.353,1.031,-0.415,0.137,0.06,-0.085
0.353,0.176,0.471,0.176,0.294,0.059,0.059,0.235,0.176,0.353,0.471,0.294,0.412,0.294,0.059,0.059,0.588,0.235,0.176,0.176,0.294,0.294,0.059,0.176,0.824,0.856,1.508,-0.61,0.575,-0.145
0.118,0.059,0.824,0.412,0.353,0.176,0.059,0.118,0.059,0.118,0.824,0.647,0.235,0.294,0.176,0.235,0.294,0.471,0.235,0.412,0.235,0.353,0.235,0.588,0.412,0.072,-0.056,0.545,0.131,-0.514
0.0,0.176,0.824,0.235,0.471,0.353,0.118,0.235,0.176,0.0,0.824,0.471,0.235,0.294,0.059,0.059,0.294,0.353,0.353,0.294,0.412,0.412,0.059,0.412,0.588,-0.668,0.218,0.285,-0.671,-0.225
0.176,0.0,0.824,0.235,0.471,0.353,0.176,0.235,0.0,0.176,0.824,0.412,0.471,0.235,0.059,0.059,0.176,0.353,0.471,0.353,0.353,0.412,0.235,0.588,0.412,0.205,0.242,0.474,0.441,-0.372
0.059,0.235,0.706,0.294,0.412,0.353,0.118,0.176,0.235,0.059,0.706,0.471,0.176,0.412,0.118,0.059,0.235,0.412,0.353,0.353,0.353,0.353,0.176,0.471,0.529,-0.056,-0.088,0.29,-0.758,-0.008
0.118,0.059,0.824,0.294,0.529,0.412,0.235,0.176,0.059,0.118,0.824,0.588,0.353,0.294,0.176,0.0,0.353,0.235,0.412,0.294,0.353,0.471,0.176,0.529,0.471,-0.458,0.388,0.102,0.069,0.548
0.118,0.118,0.765,0.176,0.471,0.353,0.118,0.235,0.118,0.118,0.765,0.412,0.353,0.235,0.059,0.0,0.118,0.412,0.471,0.353,0.471,0.294,0.118,0.588,0.412,-0.166,0.238,0.255,-0.378,-0.045
0.059,0.176,0.765,0.353,0.412,0.235,0.0,0.118,0.176,0.059,0.765,0.471,0.059,0.471,0.235,0.118,0.294,0.412,0.294,0.294,0.235,0.412,0.176,0.412,0.588,-0.153,-0.127,-0.21,-0.526,-0.054
0.059,0.118,0.824,0.176,0.647,0.588,0.059,0.059,0.118,0.059,0.824,0.647,0.118,0.353,0.118,0.0,0.353,0.412,0.235,0.588,0.235,0.235,0.176,0.471,0.529,-0.856,-0.991,-0.392,-0.657,0.367
0.059,0.118,0.824,0.353,0.412,0.353,0.059,0.059,0.118,0.059,0.824,0.471,0.176,0.471,0.235,0.059,0.235,0.353,0.412,0.412,0.353,0.294,0.294,0.647,0.353,0.339,-0.766,0.115,-0.87,0.052
0.059,0.294,0.647,0.294,0.176,0.118,0.059,0.118,0.294,0.059,0.647,0.353,0.294,0.412,0.118,0.118,0.235,0.294,0.471,0.235,0.529,0.294,0.176,0.647,0.353,1.288,0.405,1.073,-0.879,-0.428
0.353,0.0,0.647,0.118,0.471,0.412,0.059,0.059,0.0,0.353,0.647,0.412,0.471,0.235,0.059,0.059,0.353,0.353,0.294,0.471,0.294,0.118,0.235,0.412,0.588,0.619,-0.307,-0.939,0.422,-0.246
0.118,0.294,0.588,0.176,0.412,0.412,0.059,0.059,0.294,0.118,0.588,0.412,0.176,0.471,0.118,0.0,0.471,0.294,0.235,0.353,0.412,0.235,0.176,0.471,0.529,0.595,-0.581,-0.442,-1.028,0.157
0.176,0.176,0.647,0.176,0.471,0.235,0.176,0.294,0.176,0.176,0.647,0.471,0.353,0.294,0.118,0.0,0.294,0.294,0.412,0.294,0.412,0.353,0.118,0.412,0.588,-0.222,1.152,0.254,0.242,0.206
0.118,0.118,0.765,0.235,0.412,0.412,0.176,0.0,0.118,0.118,0.765,0.412,0.412,0.353,0.059,0.0,0.412,0.176,0.412,0.235,0.647,0.235,0.059,0.471,0.529,0.412,0.098,-0.364,-0.64,0.436
0.059,0.118,0.824,0.412,0.294,0.294,0.0,0.059,0.118,0.059,0.824,0.412,0.176,0.412,0.235,0.059,0.235,0.412,0.353,0.353,0.294,0.294,0.294,0.588,0.412,0.627,-0.432,-0.038,-0.945,-0.158
0.176,0.059,0.765,0.294,0.412,0.294,0.059,0.118,0.059,0.176,0.765,0.588,0.294,0.294,0.176,0.059,0.471,0.412,0.118,0.294,0.235,0.412,0.059,0.471,0.529,-0.056,0.019,-0.662,0.09,-0.152
0.235,0.0,0.765,0.294,0.471,0.353,0.235,0.118,0.0,0.235,0.765,0.588,0.471,0.118,0.059,0.176,0.412,0.294,0.294,0.294,0.353,0.529,0.176,0.412,0.588,-0.462,0.329,0.458,0.745,0.14
0.294,0.0,0.706,0.176,0.471,0.353,0.059,0.176,0.0,0.294,0.706,0.588,0.412,0.059,0.059,0.059,0.529,0.353,0.118,0.471,0.176,0.235,0.176,0.353,0.647,-0.274,0.337,-0.482,0.482,-0.055
0.059,0.118,0.824,0.412,0.353,0.294,0.059,0.059,0.118,0.059,0.824,0.529,0.176,0.471,0.235,0.059,0.471,0.294,0.235,0.353,0.412,0.294,0.294,0.588,0.412,0.583,-0.618,0.017,-0.856,0.13
0.235,0.176,0.588,0.235,0.294,0.235,0.0,0.059,0.176,0.235,0.588,0.353,0.294,0.353,0.059,0.059,0.471,0.294,0.235,0.353,0.529,0.118,0.118,0.412,0.588,0.742,0.015,-0.333,-0.432,0.026
0.235,0.176,0.588,0.176,0.353,0.235,0.118,0.235,0.176,0.235,0.588,0.294,0.412,0.294,0.0,0.0,0.353,0.235,0.412,0.235,0.471,0.294,0.059,0.412,0.588,0.541,1.217,0.044,0.372,-0.018
0.059,0.235,0.706,0.176,0.353,0.353,0.0,0.0,0.235,0.059,0.706,0.235,0.235,0.588,0.118,0.059,0.176,0.235,0.588,0.412,0.412,0.118,0.353,0.824,0.176,1.991,-0.982,0.315,-1.183,-0.467
0.059,0.176,0.765,0.412,0.294,0.294,0.0,0.059,0.176,0.059,0.765,0.235,0.118,0.588,0.235,0.0,0.471,0.176,0.353,0.294,0.353,0.294,0.353,0.471,0.529,1.056,-0.47,-0.26,-1.168,0.118
0.118,0.0,0.882,0.294,0.471,0.412,0.118,0.0,0.0,0.118,0.882,0.471,0.353,0.353,0.176,0.118,0.353,0.176,0.471,0.353,0.353,0.353,0.294,0.588,0.412,0.324,-0.646,-0.016,-0.282,0.004
0.176,0.118,0.706,0.176,0.353,0.294,0.059,0.059,0.118,0.176,0.706,0.294,0.412,0.353,0.176,0.0,0.294,0.176,0.529,0.294,0.412,0.235,0.294,0.706,0.294,1.41,-0.042,-0.019,-0.534,-0.005
0.0,0.118,0.882,0.412,0.471,0.235,0.118,0.353,0.118,0.0,0.882,0.588,0.118,0.294,0.059,0.118,0.235,0.529,0.235,0.353,0.353,0.412,0.059,0.353,0.647,-1.277,0.673,0.501,-0.145,-0.197
0.176,0.118,0.706,0.412,0.235,0.176,0.0,0.059,0.118,0.176,0.706,0.353,0.235,0.471,0.118,0.059,0.647,0.235,0.118,0.176,0.471,0.294,0.059,0.353,0.647,0.876,0.103,-0.729,-0.428,0.037
0.0,0.235,0.765,0.059,0.706,0.706,0.118,0.0,0.235,0.0,0.765,0.529,0.118,0.471,0.059,0.0,0.471,0.176,0.353,0.588,0.353,0.176,0.353,0.588,0.412,0.03,-1.525,-0.065,-1.11,0.414
0.235,0.059,0.706,0.235,0.412,0.353,0.235,0.118,0.059,0.235,0.706,0.471,0.529,0.235,0.176,0.0,0.235,0.294,0.471,0.176,0.471,0.471,0.118,0.647,0.353,0.321,0.423,-0.149,0.217,0.309
0.0,0.0,1.0,0.294,0.706,0.412,0.0,0.118,0.0,0.0,1.0,0.765,0.0,0.235,0.118,0.353,0.471,0.294,0.235,0.706,0.0,0.294,0.647,0.647,0.353,-0.532,-1.214,1.066,0.273,-0.381
0.235,0.176,0.588,0.176,0.353,0.176,0.0,0.294,0.176,0.235,0.588,0.353,0.294,0.176,0.0,0.059,0.529,0.353,0.118,0.294,0.471,0.235,0.059,0.176,0.824,-0.269,0.839,-0.376,0.036,-0.313
0.059,0.118,0.824,0.294,0.412,0.353,0.059,0.059,0.118,0.059,0.824,0.471,0.235,0.471,0.176,0.059,0.353,0.235,0.412,0.412,0.412,0.235,0.294,0.647,0.353,0.698,-0.712,0.225,-0.809,-0.055
0.176,0.294,0.529,0.118,0.412,0.235,0.118,0.118,0.294,0.176,0.529,0.412,0.294,0.471,0.118,0.059,0.353,0.176,0.471,0.235,0.588,0.294,0.176,0.588,0.412,0.984,0.072,0.435,-0.459,0.391
0.059,0.118,0.824,0.118,0.706,0.529,0.0,0.118,0.118,0.059,0.824,0.706,0.059,0.235,0.0,0.118,0.412,0.529,0.059,0.706,0.235,0.059,0.176,0.353,0.647,-1.288,-0.758,-0.534,-0.216,-0.227
0.059,0.235,0.706,0.235,0.412,0.294,0.118,0.235,0.235,0.059,0.706,0.353,0.235,0.412,0.059,0.059,0.118,0.353,0.529,0.353,0.412,0.353,0.235,0.647,0.353,0.482,0.378,0.985,-0.177,-0.259
0.059,0.0,0.941,0.294,0.588,0.529,0.059,0.176,0.0,0.059,0.941,0.471,0.176,0.294,0.118,0.0,0.294,0.353,0.353,0.529,0.176,0.294,0.294,0.529,0.471,-0.664,-0.499,-0.28,-0.284,0.008
0.059,0.176,0.765,0.235,0.471,0.294,0.0,0.176,0.176,0.059,0.765,0.353,0.118,0.529,0.118,0.059,0.353,0.294,0.353,0.412,0.294,0.294,0.235,0.471,0.529,0.34,-0.221,0.102,-0.303,-0.37
0.412,0.0,0.588,0.176,0.353,0.176,0.0,0.176,0.0,0.412,0.588,0.412,0.471,0.059,0.0,0.176,0.529,0.353,0.118,0.412,0.294,0.118,0.176,0.294,0.706,0.341,0.438,-0.685,0.695,-0.555
0.118,0.235,0.647,0.176,0.471,0.235,0.0,0.176,0.235,0.118,0.647,0.529,0.118,0.353,0.059,0.118,0.412,0.412,0.176,0.471,0.412,0.118,0.118,0.294,0.706,-0.394,0.242,-0.098,-0.262,-0.185
0.176,0.176,0.647,0.294,0.235,0.118,0.059,0.176,0.176,0.176,0.647,0.176,0.353,0.412,0.118,0.059,0.353,0.176,0.471,0.118,0.529,0.353,0.176,0.471,0.529,1.171,0.754,0.137,-0.239,-0.201
0.176,0.118,0.706,0.294,0.353,0.118,0.0,0.176,0.118,0.176,0.706,0.588,0.235,0.294,0.176,0.176,0.353,0.471,0.176,0.412,0.294,0.235,0.176,0.412,0.588,0.008,0.052,0.068,-0.214,-0.461
0.176,0.059,0.765,0.118,0.588,0.471,0.0,0.118,0.059,0.176,0.765,0.529,0.235,0.235,0.059,0.0,0.412,0.353,0.235,0.588,0.235,0.059,0.235,0.588,0.412,-0.003,-0.518,-0.634,-0.295,0.128
0.059,0.059,0.882,0.294,0.529,0.353,0.059,0.059,0.059,0.059,0.882,0.706,0.176,0.294,0.176,0.176,0.471,0.353,0.176,0.412,0.235,0.412,0.235,0.529,0.471,-0.397,-0.665,0.157,-0.196,-0.046
0.059,0.0,0.941,0.412,0.471,0.118,0.0,0.412,0.0,0.059,0.941,0.588,0.118,0.353,0.118,0.118,0.176,0.647,0.176,0.588,0.176,0.176,0.235,0.412,0.588,-0.643,0.552,0.349,0.349,-0.907
0.0,0.059,0.941,0.235,0.706,0.706,0.059,0.0,0.059,0.0,0.941,0.706,0.059,0.412,0.176,0.0,0.294,0.412,0.294,0.647,0.176,0.235,0.294,0.647,0.353,-0.757,-1.739,-0.472,-0.882,0.444
0.118,0.235,0.647,0.176,0.412,0.353,0.118,0.059,0.235,0.118,0.647,0.471,0.294,0.412,0.118,0.059,0.294,0.353,0.353,0.353,0.471,0.294,0.176,0.529,0.471,0.535,-0.261,0.225,-0.501,-0.062
0.176,0.0,0.824,0.294,0.529,0.353,0.059,0.176,0.0,0.176,0.824,0.412,0.235,0.353,0.235,0.059,0.353,0.235,0.412,0.412,0.118,0.412,0.412,0.529,0.471,0.043,-0.259,-0.13,0.189,0.079
0.294,0.0,0.706,0.235,0.412,0.118,0.0,0.412,0.0,0.294,0.706,0.353,0.353,0.176,0.118,0.0,0.353,0.412,0.235,0.412,0.176,0.294,0.176,0.235,0.765,-0.398,1.261,-0.252,0.822,-0.436
0.059,0.118,0.824,0.294,0.471,0.353,0.0,0.353,0.118,0.059,0.824,0.471,0.118,0.176,0.0,0.059,0.353,0.471,0.176,0.529,0.176,0.294,0.176,0.294,0.706,-1.161,0.395,0.293,-0.141,-0.474
0.176,0.235,0.588,0.294,0.294,0.294,0.0,0.059,0.235,0.176,0.588,0.471,0.176,0.353,0.059,0.118,0.412,0.353,0.235,0.412,0.294,0.235,0.235,0.588,0.412,0.926,-0.163,0.382,-0.302,0.011
0.353,0.0,0.647,0.412,0.235,0.059,0.0,0.176,0.0,0.353,0.647,0.529,0.353,0.294,0.176,0.118,0.471,0.529,0.0,0.353,0.294,0.294,0.118,0.294,0.706,0.357,0.369,-0.486,0.661,-0.401
0.059,0.059,0.882,0.294,0.529,0.353,0.0,0.294,0.059,0.059,0.882,0.412,0.118,0.353,0.118,0.0,0.353,0.294,0.353,0.529,0.176,0.235,0.294,0.412,0.588,-0.547,0.104,0.044,-0.299,-0.102
0.294,0.0,0.706,0.412,0.294,0.118,0.0,0.294,0.0,0.294,0.706,0.529,0.294,0.176,0.118,0.118,0.353,0.647,0.0,0.412,0.176,0.235,0.118,0.294,0.706,-0.261,0.73,-0.699,0.639,-0.696
0.0,0.118,0.882,0.235,0.647,0.412,0.0,0.118,0.118,0.0,0.882,0.647,0.0,0.471,0.235,0.118,0.235,0.412,0.353,0.529,0.118,0.353,0.353,0.706,0.294,-0.258,-1.234,0.242,-0.595,0.053
0.0,0.294,0.706,0.176,0.529,0.235,0.059,0.235,0.294,0.0,0.706,0.412,0.059,0.529,0.118,0.118,0.353,0.235,0.412,0.353,0.353,0.353,0.235,0.412,0.588,-0.048,0.069,0.646,-0.591,-0.123
0.059,0.118,0.824,0.118,0.706,0.412,0.118,0.176,0.118,0.059,0.824,0.706,0.176,0.294,0.118,0.118,0.353,0.353,0.294,0.471,0.235,0.353,0.176,0.412,0.588,-1.049,-0.164,0.102,0.005,0.123
